loan_id,prob_default,approval_flag
L578-2,0.20918164241396134,1
L2192-1,0.2354189865199638,0
L8707-1,0.22647666636000455,1
L108-3,0.20130704076468567,1
L928-2,0.2853881678748342,0
L2304-2,0.30720292460466914,0
L2376-1,0.22479257947978726,1
L5206-1,0.23526977884222264,0
L5698-1,0.2349529299723004,0
L4872-3,0.2459457189171914,0
L5688-3,0.2716893655448797,0
L2338-4,0.29460626688181263,0
L5273-2,0.2042389838626918,1
L3033-3,0.21098754121162375,1
L3206-1,0.3588965129366203,0
L8179-1,0.31528983592712867,0
L1-1,0.2464843003554168,0
L2442-1,0.2703379612449196,0
L6034-1,0.21412731883225997,1
L6368-1,0.2921997771496673,0
L1617-1,0.24891772306791357,0
L2708-3,0.24746732533542745,0
L8325-1,0.29006090978415194,0
L9163-1,0.3779204907247365,0
L6975-1,0.22479257947978726,1
L8865-1,0.22073721831160947,1
L9433-1,0.25589599931871904,0
L9978-1,0.30294037193029677,0
L8763-2,0.20957624560184154,1
L759-2,0.22725834061875358,1
L1128-1,0.20164052023813173,1
L5028-1,0.2552255998339877,0
L2627-2,0.2877188846106156,0
L3112-1,0.2634468472163398,0
L2486-1,0.21650876587079348,1
L714-2,0.29121474813073006,0
L6844-2,0.27556195173202486,0
L880-1,0.2570818723656398,0
L2457-1,0.21310013565642427,1
L3707-2,0.2910436385602093,0
L5091-2,0.21226711531621592,1
L5795-4,0.28248027547267035,0
L6101-1,0.19589681708160075,1
L6197-2,0.22188029289462574,1
L4227-1,0.22753146532541974,1
L4255-2,0.31007786755693617,0
L4369-2,0.2731890240634582,0
L1167-1,0.2507435636326968,0
L3449-2,0.22771367706557943,0
L3669-1,0.21652634728726625,1
L475-3,0.29361649068505646,0
L2859-1,0.22767722648765043,0
L948-1,0.20267692973427653,1
L2883-2,0.28650973350183495,0
L4085-3,0.24901461805620248,0
L4225-1,0.19807723473006478,1
L5027-1,0.23376274069118988,0
L6121-1,0.24994609205860632,0
L4150-1,0.260381462903625,0
L8804-3,0.21628030146992364,1
L9690-1,0.2849233876196336,0
L749-1,0.25039324581068045,0
L1657-1,0.24577277195960984,0
L2143-1,0.23986892982296046,0
L7719-2,0.24756384182843583,0
L3777-1,0.24767969495591707,0
L7217-1,0.19781396490558104,1
L7999-1,0.23445030739992004,0
L382-1,0.27487971946765843,0
L712-1,0.21212851011256484,1
L5136-2,0.25892706414076483,0
L5717-1,0.23568025750791782,0
L8527-1,0.27834298108704225,0
L8182-1,0.23172690916054992,0
L1189-2,0.2466768430868697,0
L2862-1,0.31114312158602775,0
L6473-1,0.20200782436711254,1
L8282-2,0.2103326621038899,1
L915-1,0.23556825967587924,0
L6256-1,0.2471972135356411,0
L8459-1,0.22495516630295112,1
L8651-1,0.27778123924142084,0
L4657-2,0.31198786897166847,0
L3012-1,0.25972333990174,0
L1953-2,0.25579733873677746,0
L9330-1,0.2273675627214871,1
L6210-1,0.23790915079904387,0
L4735-6,0.2386239448301568,0
L5565-1,0.25629089124335863,0
L7221-2,0.2132392038953266,1
L7496-1,0.35423607224568815,0
L8575-1,0.20935314183824663,1
L9161-1,0.2564489597952216,0
L2847-1,0.26974550230606137,0
L8759-1,0.2397366754546619,0
L6128-2,0.24395222521746474,0
L3774-1,0.26384925967187733,0
L3890-1,0.28313193145432275,0
L4741-3,0.2324287937380594,0
L5663-1,0.24395222521746474,0
L355-3,0.22274037172561587,1
L2190-1,0.20410426256672556,1
L6719-1,0.21412731883225997,1
L7457-1,0.22430531974923323,1
L6514-4,0.2115574628698416,1
L2005-2,0.2599226570368332,0
L3119-1,0.23383700462562232,0
L3709-3,0.2689296624105351,0
L7475-1,0.3091031511568036,0
L583-1,0.2588276414255964,0
L7325-1,0.3323255442141238,0
L4098-1,0.2913431191940767,0
L3626-1,0.22693089657496954,1
